Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,DaysEnrolled,YearsEnrolled,Age,AgeGroup,MntTotal,MntRegProds,NbChildren,ChildrenPresence,AcceptedCmpTotal,AcceptedSomeCmp,NumTotalPurchases,Cluster
2n Cycle,Single,63998.0,0,0,42,176,29,818,0,33,112,1,7,6,11,4,0,0,0,0,0,0,1,191,0,62,45-64,1168,1056,0,0,0,0,24,1
Master,HasPartner,67381.0,0,1,67,815,8,53,11,0,70,4,2,2,9,7,0,1,0,0,0,0,0,530,1,63,45-64,957,887,1,1,1,1,13,2
Graduation,Single,25930.0,1,1,87,6,1,2,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,262,0,47,45-64,15,11,2,1,0,0,3,0
Graduation,HasPartner,42693.0,1,0,29,8,4,20,6,3,16,1,1,0,3,5,0,0,0,0,0,0,0,22,0,36,26-44,57,41,1,1,0,0,4,0
Graduation,HasPartner,85606.0,0,1,89,717,42,864,219,30,84,2,6,7,9,3,0,0,0,1,0,0,0,594,1,38,26-44,1956,1872,1,1,1,1,22,1
Graduation,Single,72903.0,0,0,74,1067,138,750,0,19,39,1,7,5,8,4,0,1,1,1,0,0,1,243,0,29,26-44,2013,1974,0,0,3,1,20,1
2n Cycle,HasPartner,49669.0,1,0,97,166,5,107,11,8,29,2,5,1,6,6,0,0,0,0,0,0,0,36,0,40,26-44,326,297,1,1,0,0,12,2
PhD,HasPartner,36778.0,1,1,63,29,4,34,2,4,4,3,3,0,3,9,0,0,0,0,0,0,0,693,1,46,45-64,77,73,2,1,0,0,6,0
PhD,Single,85696.0,0,0,88,714,76,395,116,0,12,1,4,6,9,1,0,0,0,0,0,0,1,422,1,52,45-64,1313,1301,0,0,0,0,19,1
Master,Single,10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,38,0,25,18-25,30,26,0,0,0,0,6,0
Graduation,HasPartner,49678.0,0,1,81,229,5,56,3,2,20,2,6,2,4,7,0,0,0,0,0,0,0,512,1,53,45-64,315,295,1,1,0,0,12,2
Master,HasPartner,56129.0,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,374,1,61,45-64,660,612,1,1,0,0,18,2
Graduation,HasPartner,37155.0,1,0,51,23,0,26,7,15,3,1,2,0,4,5,0,0,0,0,0,0,0,514,1,25,18-25,74,71,1,1,0,0,6,0
2n Cycle,Single,21282.0,1,0,76,1,5,8,4,8,20,2,2,1,2,6,0,0,0,0,0,0,0,49,0,36,26-44,46,26,1,1,0,0,5,0
PhD,Single,33419.0,0,1,76,56,0,12,0,0,18,2,2,0,4,7,0,0,0,0,0,0,0,316,0,52,45-64,86,68,1,1,0,0,6,0
Graduation,Single,63285.0,0,0,84,508,124,249,50,38,134,1,6,5,13,3,0,0,0,0,0,0,0,236,0,69,65+,1103,969,0,0,0,0,24,1
Master,HasPartner,21255.0,1,0,56,29,0,25,2,2,3,4,2,1,4,4,0,0,0,0,0,0,0,159,0,40,26-44,61,58,1,1,0,0,7,0
Graduation,HasPartner,42162.0,1,0,31,46,7,59,2,4,27,2,3,1,3,6,1,0,0,0,0,0,1,222,0,33,26-44,145,118,1,1,1,1,7,0
Graduation,HasPartner,54450.0,1,1,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,653,1,58,45-64,684,652,2,1,0,0,19,2
PhD,HasPartner,57744.0,0,1,91,350,3,39,0,0,19,2,9,1,4,8,0,0,0,0,0,0,0,229,0,60,45-64,411,392,1,1,0,0,14,2
Graduation,Single,26576.0,1,0,40,10,0,8,0,0,9,1,1,0,2,9,1,0,0,0,0,0,1,624,1,28,26-44,27,18,1,1,1,1,3,0
PhD,Single,57513.0,0,0,59,735,40,183,52,20,30,2,9,3,13,6,0,0,0,0,0,0,0,358,0,71,65+,1060,1030,0,0,0,0,25,1
Graduation,HasPartner,68142.0,0,1,96,897,126,196,91,112,37,3,10,4,7,6,0,0,0,0,0,0,0,669,1,50,45-64,1459,1422,1,1,0,0,21,2
Graduation,HasPartner,7500.0,0,1,61,5,2,3,3,0,5,1,1,0,2,8,0,0,0,0,0,0,0,669,1,35,26-44,18,13,1,1,0,0,3,0
Graduation,HasPartner,83145.0,0,0,14,777,35,731,39,137,114,1,5,9,11,2,0,0,1,0,0,0,1,645,1,40,26-44,1833,1719,0,0,1,1,25,1
Master,HasPartner,54197.0,0,1,16,162,6,37,6,13,13,2,1,3,6,1,0,0,0,0,0,0,0,87,0,54,45-64,237,224,1,1,0,0,10,2
PhD,Single,23091.0,1,1,98,35,0,11,0,0,2,4,2,1,3,7,0,0,0,0,0,0,0,32,0,51,45-64,48,46,2,1,0,0,6,0
Graduation,HasPartner,46049.0,1,1,11,342,9,112,19,14,19,10,5,2,9,7,0,0,0,0,0,0,1,343,0,38,26-44,515,496,2,1,0,0,16,2
Graduation,HasPartner,56715.0,0,0,52,258,105,239,237,172,9,1,7,3,4,4,0,0,0,0,0,0,0,571,1,40,26-44,1020,1011,0,0,0,0,14,1
Graduation,HasPartner,79410.0,0,0,19,658,80,483,123,13,13,1,3,2,5,1,0,0,0,0,0,0,0,31,0,53,45-64,1370,1357,0,0,0,0,10,1
Graduation,HasPartner,57304.0,0,1,61,356,80,329,138,17,106,2,7,6,10,5,0,0,0,0,0,0,0,475,1,63,45-64,1026,920,1,1,0,0,23,2
Graduation,HasPartner,44375.0,0,1,73,213,5,28,7,7,41,1,4,1,6,5,0,0,0,0,0,0,0,98,0,49,45-64,301,260,1,1,0,0,11,2
Graduation,HasPartner,54450.0,1,1,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,653,1,58,45-64,684,652,2,1,0,0,19,2
Graduation,HasPartner,59594.0,0,1,74,457,4,29,0,0,9,1,8,1,7,7,0,1,0,0,0,0,0,617,1,49,45-64,499,490,1,1,1,1,16,2
Graduation,HasPartner,80685.0,0,0,55,241,45,604,34,26,54,1,6,4,10,2,0,0,0,0,0,0,0,676,1,20,18-25,1004,950,0,0,0,0,20,1
PhD,HasPartner,40344.0,0,1,48,210,0,6,0,0,2,2,4,1,5,7,0,0,0,0,0,0,0,259,0,40,26-44,218,216,1,1,0,0,10,0
Graduation,HasPartner,62710.0,0,1,53,441,35,83,7,29,11,4,4,2,12,4,0,0,0,0,0,0,0,402,1,42,26-44,606,595,1,1,0,0,18,2
2n Cycle,HasPartner,48985.0,0,1,13,19,13,18,10,7,8,1,1,1,3,3,0,0,0,0,0,0,0,359,0,46,45-64,75,67,1,1,0,0,5,0
Graduation,HasPartner,35322.0,1,2,34,28,9,37,12,7,13,3,2,0,4,8,0,0,0,0,0,0,0,676,1,46,45-64,106,93,3,1,0,0,6,0
Graduation,HasPartner,77142.0,0,0,54,476,75,162,29,151,97,1,4,4,8,2,0,0,0,0,0,0,0,396,1,66,65+,990,893,0,0,0,0,16,1
Graduation,Single,81657.0,0,0,69,364,40,425,158,60,50,1,3,4,8,1,0,0,0,0,0,0,0,158,0,45,45-64,1097,1047,0,0,0,0,15,1
Basic,HasPartner,14421.0,0,0,81,0,0,2,3,3,8,1,1,0,2,5,1,0,0,0,0,0,0,132,0,18,18-25,16,8,0,0,1,1,3,0
2n Cycle,HasPartner,20130.0,0,0,99,0,6,3,7,6,12,1,1,0,3,8,0,0,0,0,0,0,0,104,0,40,26-44,34,22,0,0,0,0,4,0
PhD,HasPartner,74214.0,0,0,3,863,83,547,86,99,33,1,8,2,5,5,0,0,0,0,0,0,0,672,1,24,18-25,1711,1678,0,0,0,0,15,1
Master,HasPartner,66726.0,1,1,61,349,7,35,0,0,47,3,8,2,4,7,0,1,0,0,0,0,0,168,0,57,45-64,438,391,2,1,1,1,14,2
Basic,HasPartner,23724.0,1,0,65,5,23,15,0,18,14,2,2,0,3,8,0,0,0,0,0,0,0,537,1,35,26-44,75,61,1,1,0,0,5,0
Master,HasPartner,47353.0,0,1,93,184,2,19,8,8,4,3,2,2,6,5,0,0,0,0,0,0,0,228,0,54,45-64,225,221,1,1,0,0,10,2
Master,HasPartner,33444.0,1,1,24,8,0,8,0,0,2,1,1,0,2,8,0,0,0,0,0,0,0,603,1,62,45-64,18,16,2,1,0,0,3,0
Graduation,HasPartner,54386.0,0,1,8,277,21,64,62,21,25,2,3,2,10,3,0,0,0,0,0,0,0,408,1,33,26-44,470,445,1,1,0,0,15,2
Graduation,Single,28510.0,1,1,72,44,5,19,0,4,19,3,2,0,4,5,0,0,0,0,0,0,0,442,1,33,26-44,91,72,2,1,0,0,6,0
Master,Single,90638.0,0,0,29,1156,120,915,94,144,96,1,3,4,10,1,0,0,1,0,0,0,0,136,0,23,18-25,2525,2429,0,0,1,1,17,1
Graduation,HasPartner,48070.0,0,1,33,373,14,83,6,9,19,3,8,2,6,7,0,0,0,0,0,1,0,532,1,64,45-64,504,485,1,1,0,0,16,2
Graduation,HasPartner,43140.0,0,1,68,134,8,76,6,0,11,1,4,1,5,6,0,0,0,0,0,0,0,540,1,57,45-64,235,224,1,1,0,0,10,2
PhD,Single,54959.0,0,1,55,1148,0,60,0,0,24,3,9,5,4,7,0,1,0,0,0,0,1,526,1,53,45-64,1232,1208,1,1,1,1,18,2
Basic,Single,15056.0,1,1,76,6,12,3,21,6,40,5,2,2,3,5,0,0,0,0,0,0,0,422,1,56,45-64,88,48,2,1,0,0,7,0
Graduation,Single,26954.0,1,0,17,4,1,11,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,52,0,43,26-44,17,16,1,1,0,0,3,0
Graduation,Single,22327.0,1,0,94,5,4,8,2,0,5,1,1,0,3,5,0,0,0,0,0,0,0,331,0,29,26-44,24,19,1,1,0,0,4,0
Graduation,HasPartner,44393.0,1,1,86,24,2,20,2,2,10,2,1,0,4,4,0,0,0,0,0,0,0,311,0,49,45-64,60,50,2,1,0,0,5,0
PhD,Single,62000.0,0,1,25,899,0,101,0,0,20,1,6,6,13,4,0,0,0,1,0,0,0,308,0,62,45-64,1020,1000,1,1,1,1,25,2
PhD,HasPartner,31497.0,0,1,22,108,1,28,13,1,4,2,3,1,4,8,0,0,0,0,0,0,0,570,1,52,45-64,155,151,1,1,0,0,8,0
2n Cycle,HasPartner,45894.0,0,2,15,27,2,7,0,2,13,1,1,0,3,5,0,0,0,0,0,0,0,122,0,40,26-44,51,38,2,1,0,0,4,0
Master,Single,78579.0,0,0,35,816,66,549,216,66,99,1,5,6,4,3,0,0,0,0,0,0,1,554,1,44,26-44,1812,1713,0,0,0,0,15,1
Master,Single,67369.0,0,1,81,1298,0,70,37,14,42,4,7,4,10,4,0,1,1,0,0,0,1,589,1,45,45-64,1461,1419,1,1,2,1,21,2
Graduation,Single,58401.0,0,1,55,10,0,11,17,29,29,1,1,2,2,4,0,0,0,0,0,0,0,70,0,54,45-64,96,67,1,1,0,0,5,0
Graduation,Single,62307.0,0,1,94,87,13,34,10,6,10,1,4,0,4,5,0,0,0,0,0,0,0,132,0,62,45-64,160,150,1,1,0,0,8,0
Master,HasPartner,43641.0,1,1,50,57,2,51,4,2,23,3,2,1,4,6,0,0,0,0,0,0,0,433,1,45,45-64,139,116,2,1,0,0,7,0
Master,Single,63841.0,0,1,64,635,15,100,20,7,131,1,9,3,9,6,0,0,0,0,0,0,0,434,1,46,45-64,908,777,1,1,0,0,21,2
2n Cycle,HasPartner,46891.0,0,1,91,43,12,23,29,15,61,1,2,1,4,4,0,0,0,0,0,0,0,301,0,49,45-64,183,122,1,1,0,0,7,0
Master,HasPartner,70091.0,1,0,11,964,34,137,15,0,11,2,5,2,10,8,0,1,0,0,0,0,0,455,1,45,45-64,1161,1150,1,1,1,1,17,2
PhD,HasPartner,78075.0,0,0,72,572,8,259,34,35,80,1,3,5,5,1,0,0,0,0,0,0,0,85,0,42,26-44,988,908,0,0,0,0,13,1
2n Cycle,Single,59184.0,0,1,6,341,142,113,259,151,66,3,6,6,12,5,0,0,0,0,0,0,0,658,1,53,45-64,1072,1006,1,1,0,0,24,1
Graduation,HasPartner,54809.0,1,1,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,0,0,291,0,37,26-44,174,152,2,1,0,0,8,0
Graduation,HasPartner,58113.0,0,1,66,221,104,169,102,78,84,3,9,2,8,7,0,0,0,0,0,1,0,520,1,55,45-64,758,674,1,1,0,0,19,2
Master,HasPartner,51412.0,0,1,42,140,3,29,4,5,14,2,3,2,4,4,0,0,0,0,0,0,0,180,0,56,45-64,195,181,1,1,0,0,9,2
Graduation,Single,15287.0,1,0,60,1,2,8,4,3,13,2,1,1,2,7,1,0,0,0,0,0,1,627,1,35,26-44,31,18,1,1,1,1,4,0
Master,HasPartner,66636.0,0,0,64,291,10,689,84,10,0,1,3,4,9,1,0,0,0,0,0,0,0,316,0,57,45-64,1084,1084,0,0,0,0,16,1
Master,HasPartner,50965.0,0,1,87,544,13,85,8,6,29,3,10,4,5,8,1,0,0,0,0,0,0,494,1,58,45-64,685,656,1,1,1,1,19,2
PhD,HasPartner,84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,219,0,49,45-64,1672,1672,0,0,1,1,25,1
Graduation,HasPartner,18351.0,0,0,1,1,12,9,0,14,7,1,2,0,3,7,0,0,0,0,0,0,0,243,0,24,18-25,43,36,0,0,0,0,5,0
PhD,HasPartner,40451.0,0,2,54,35,0,4,0,0,10,1,1,1,2,5,1,0,0,0,0,0,0,133,0,57,45-64,49,39,2,1,1,1,4,0
Graduation,HasPartner,36317.0,0,1,53,87,3,25,3,2,13,2,3,0,4,7,0,0,0,0,0,0,0,403,1,49,45-64,133,120,1,1,0,0,7,0
Graduation,HasPartner,42213.0,0,1,96,309,3,24,4,3,20,2,5,1,7,7,0,1,0,0,0,0,0,260,0,57,45-64,363,343,1,1,1,1,13,2
Graduation,HasPartner,65748.0,0,1,58,172,73,93,95,78,34,2,2,4,10,1,0,0,0,0,0,1,0,440,1,59,45-64,545,511,1,1,0,0,16,1
Graduation,HasPartner,77044.0,0,1,12,625,38,242,50,34,76,2,7,11,11,4,1,0,0,0,0,0,0,245,0,42,26-44,1065,989,1,1,1,1,29,1
Graduation,HasPartner,74918.0,0,0,78,972,59,913,25,19,59,1,5,9,6,3,0,0,1,0,0,0,0,474,1,45,45-64,2047,1988,0,0,1,1,20,1
Graduation,HasPartner,56721.0,1,1,64,157,6,39,6,13,75,5,4,1,5,6,0,0,0,0,0,0,0,606,1,42,26-44,296,221,2,1,0,0,10,2
Graduation,Single,42160.0,1,1,26,48,9,45,3,15,20,4,2,1,4,6,0,0,0,0,0,0,1,366,1,39,26-44,140,120,2,1,0,0,7,0
Graduation,Single,61559.0,0,1,8,279,83,88,32,14,34,1,4,2,10,3,0,0,0,0,0,0,0,347,0,49,45-64,530,496,1,1,0,0,16,2
PhD,HasPartner,33629.0,1,1,49,132,0,16,0,0,4,5,3,1,4,9,0,0,0,0,0,0,0,690,1,51,45-64,152,148,2,1,0,0,8,0
PhD,HasPartner,68682.0,0,0,56,919,0,505,99,30,45,1,4,9,10,2,0,0,0,0,0,0,0,266,0,23,18-25,1598,1553,0,0,0,0,23,1
Graduation,Single,34377.0,0,1,55,62,0,22,3,1,26,2,2,2,2,7,0,0,0,0,0,0,0,526,1,51,45-64,114,88,1,1,0,0,6,0
Basic,Single,8940.0,1,0,25,1,45,3,4,6,42,3,3,1,3,8,0,0,0,0,0,0,0,676,1,28,26-44,101,59,1,1,0,0,7,0
Graduation,HasPartner,26228.0,1,0,50,2,6,4,3,1,9,1,1,0,2,8,0,0,0,0,0,0,0,280,0,41,26-44,25,16,1,1,0,0,3,0
2n Cycle,Single,77297.0,0,0,84,408,61,109,48,122,41,1,5,7,9,4,0,0,0,1,0,0,0,519,1,57,45-64,789,748,0,0,1,1,21,1
Graduation,HasPartner,40211.0,1,1,30,51,1,7,2,1,25,2,2,1,2,8,1,0,0,0,0,0,0,334,0,33,26-44,87,62,2,1,1,1,5,0
PhD,Single,33438.0,1,1,81,62,1,16,3,2,6,4,2,1,4,5,0,0,0,0,0,0,0,280,0,56,45-64,90,84,2,1,0,0,7,0
PhD,HasPartner,75032.0,0,1,74,952,12,180,47,12,12,2,5,4,9,3,0,0,0,0,0,0,0,427,1,55,45-64,1215,1203,1,1,0,0,18,2
PhD,Single,61284.0,0,0,76,618,15,106,20,7,45,1,11,2,8,6,0,1,0,0,0,0,0,260,0,59,45-64,811,766,0,0,1,1,21,1
Graduation,HasPartner,22518.0,1,0,36,11,7,12,2,2,27,2,2,1,2,5,1,0,0,0,0,0,1,615,1,28,26-44,61,34,1,1,1,1,5,0
Master,HasPartner,54730.0,0,1,64,318,3,17,4,7,56,5,4,1,8,4,0,0,0,0,0,0,0,318,0,39,26-44,405,349,1,1,0,0,13,2
Master,HasPartner,38452.0,1,1,62,56,0,14,0,0,2,3,3,0,3,7,0,0,0,0,0,0,0,91,0,59,45-64,72,70,2,1,0,0,6,0
Graduation,Single,44421.0,1,1,53,110,5,59,7,1,7,5,5,0,4,8,0,0,0,0,0,0,0,499,1,43,26-44,189,182,2,1,0,0,9,0
PhD,HasPartner,38197.0,1,0,86,23,0,11,2,1,3,1,1,0,3,5,0,0,0,0,0,0,0,365,1,28,26-44,40,37,1,1,0,0,4,0
Graduation,Single,41986.0,0,1,15,27,5,8,8,3,12,3,3,0,4,4,0,0,0,0,0,0,0,140,0,36,26-44,63,51,1,1,0,0,7,0
Graduation,HasPartner,28427.0,1,0,67,18,3,19,3,3,6,2,2,0,3,8,0,0,0,0,0,0,0,465,1,31,26-44,52,46,1,1,0,0,5,0
PhD,HasPartner,37395.0,1,0,47,18,0,9,0,1,11,1,1,0,3,6,0,0,0,0,0,0,0,58,0,38,26-44,39,28,1,1,0,0,4,0
Graduation,HasPartner,64722.0,1,0,47,303,0,280,60,147,15,4,8,2,11,6,0,0,0,0,0,0,0,34,0,43,26-44,805,790,1,1,0,0,21,2
Master,HasPartner,55249.0,0,1,81,97,1,19,2,0,11,1,2,1,4,3,0,0,0,0,0,0,0,73,0,58,45-64,130,119,1,1,0,0,7,0
Graduation,HasPartner,84906.0,0,0,98,997,15,414,99,30,76,1,5,6,12,2,0,1,1,0,1,0,0,268,0,42,26-44,1631,1555,0,0,3,1,23,1
Graduation,HasPartner,28691.0,1,0,56,5,4,13,8,0,4,1,1,0,3,8,0,0,0,0,0,0,0,360,0,25,18-25,34,30,1,1,0,0,4,0
Graduation,Single,44213.0,1,1,48,95,11,35,0,4,7,4,2,1,5,6,0,0,0,0,0,0,0,212,0,62,45-64,152,145,2,1,0,0,8,0
Basic,Single,25707.0,1,0,18,1,6,2,3,6,3,1,1,0,3,7,0,0,0,0,0,0,0,162,0,30,26-44,21,18,1,1,0,0,4,0
PhD,HasPartner,59062.0,2,1,74,46,1,12,3,0,9,2,2,0,3,4,0,0,0,0,0,0,0,269,0,47,45-64,71,62,3,1,0,0,5,0
Graduation,Single,76624.0,0,1,68,411,106,147,54,115,66,1,5,10,7,1,1,0,0,0,0,0,0,36,0,52,45-64,899,833,1,1,1,1,22,1
Master,HasPartner,66000.0,0,0,36,244,51,270,101,0,45,1,1,3,5,1,0,0,0,0,0,0,0,70,0,67,65+,711,666,0,0,0,0,9,1
PhD,HasPartner,27683.0,1,0,90,152,9,121,12,12,45,4,6,2,4,8,0,0,0,0,0,0,0,694,1,36,26-44,351,306,1,1,0,0,12,2
Graduation,Single,1730.0,0,0,65,1,1,3,1,1,1,15,0,0,0,20,0,0,0,0,0,0,0,42,0,43,26-44,8,7,0,0,0,0,0,0
Basic,Single,7500.0,1,0,63,10,17,18,8,26,40,4,3,2,2,9,0,0,0,0,0,0,0,573,1,22,18-25,119,79,1,1,0,0,7,0
Graduation,HasPartner,40521.0,1,1,82,12,0,5,0,0,4,1,0,1,2,5,0,0,0,0,0,0,0,450,1,46,45-64,21,17,2,1,0,0,3,0
PhD,HasPartner,20427.0,1,0,63,5,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,97,0,41,26-44,10,9,1,1,0,0,3,0
Graduation,HasPartner,65106.0,0,1,55,790,19,133,12,0,19,3,8,3,13,6,0,1,0,0,0,0,0,36,0,39,26-44,973,954,1,1,1,1,24,2
PhD,HasPartner,69969.0,0,0,64,882,29,514,38,29,44,1,4,2,6,3,0,0,1,1,0,0,1,306,0,49,45-64,1536,1492,0,0,2,1,12,1
Graduation,HasPartner,67433.0,0,2,51,615,28,259,12,48,30,4,6,5,13,4,0,1,0,0,0,0,0,348,0,62,45-64,992,962,2,1,1,1,24,2
PhD,HasPartner,77766.0,0,1,97,1004,59,265,115,59,27,2,11,10,11,6,1,0,0,0,0,0,1,492,1,47,45-64,1529,1502,1,1,1,1,32,1
Graduation,HasPartner,74716.0,0,1,92,133,27,421,13,195,71,2,7,3,5,4,0,0,0,0,0,0,0,290,0,42,26-44,860,789,1,1,0,0,15,2
Graduation,Single,68118.0,0,1,51,595,23,123,10,23,154,2,8,9,4,6,0,0,0,0,0,0,0,254,0,51,45-64,928,774,1,1,0,0,21,2
PhD,HasPartner,55158.0,1,1,72,293,0,87,4,11,23,4,7,2,5,7,0,0,0,0,0,0,1,699,1,44,26-44,418,395,2,1,0,0,14,2
2n Cycle,HasPartner,62972.0,0,1,39,313,15,47,20,0,192,2,7,4,3,6,0,0,0,0,0,0,1,695,1,59,45-64,587,395,1,1,0,0,14,2
Graduation,HasPartner,74190.0,0,1,49,151,81,86,168,91,64,2,4,2,11,2,0,0,0,0,0,0,0,48,0,39,26-44,641,577,1,1,0,0,17,1
Graduation,HasPartner,39356.0,1,1,21,15,0,2,0,0,6,1,1,0,2,6,1,0,0,0,0,0,0,102,0,38,26-44,23,17,2,1,1,1,3,0
Graduation,HasPartner,76653.0,0,0,91,736,63,946,219,189,126,1,4,7,11,2,0,0,1,1,0,0,0,317,0,45,45-64,2279,2153,0,0,2,1,22,1
PhD,Single,35860.0,1,1,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,0,41,0,41,26-44,49,29,2,1,1,1,4,0
PhD,Single,90687.0,0,0,98,982,17,672,23,34,51,1,6,2,8,2,0,0,1,0,0,0,1,403,1,31,26-44,1779,1728,0,0,1,1,16,1
Master,HasPartner,73450.0,0,0,85,1142,51,415,90,69,37,1,7,8,11,3,1,0,0,1,0,0,0,206,0,32,26-44,1804,1767,0,0,2,1,26,1
Graduation,HasPartner,31454.0,1,1,40,28,0,11,0,0,9,3,2,0,3,8,0,0,0,0,0,0,0,358,0,54,45-64,48,39,2,1,0,0,5,0
Graduation,Single,47139.0,1,1,2,46,0,12,0,2,23,2,2,1,2,7,0,0,0,0,0,0,1,115,0,62,45-64,83,60,2,1,0,0,5,0
Graduation,Single,83829.0,0,0,78,897,161,430,186,161,27,0,4,7,6,1,1,0,1,1,0,0,1,264,0,39,26-44,1862,1835,0,0,3,1,17,1
PhD,HasPartner,53378.0,1,1,41,489,6,152,8,6,132,10,9,4,6,8,0,0,0,0,0,0,1,643,1,51,45-64,793,661,2,1,0,0,19,2
Graduation,HasPartner,19656.0,1,0,94,25,4,9,6,8,32,3,2,1,3,7,0,0,0,0,0,0,0,506,1,44,26-44,84,52,1,1,0,0,6,0
PhD,HasPartner,45579.0,0,1,10,145,1,33,2,1,1,1,4,1,4,6,0,0,0,0,0,0,0,313,0,66,65+,183,182,1,1,0,0,9,0
2n Cycle,Single,85485.0,0,0,73,630,26,611,44,18,54,1,6,6,6,2,0,0,0,0,0,0,0,8,0,56,45-64,1383,1329,0,0,0,0,18,1
Graduation,HasPartner,55956.0,0,0,22,760,38,104,50,9,38,2,7,3,4,4,0,1,0,0,0,0,0,83,0,70,65+,999,961,0,0,1,1,14,1
Master,Single,64191.0,0,1,30,420,15,186,151,38,15,3,5,3,13,3,0,0,0,0,0,0,0,523,1,51,45-64,825,810,1,1,0,0,21,2
Graduation,Single,38808.0,1,0,21,125,17,52,3,19,30,4,5,1,4,8,1,0,0,0,0,0,1,672,1,42,26-44,246,216,1,1,1,1,10,2
Master,HasPartner,57183.0,1,1,51,464,5,64,7,0,70,8,9,1,7,8,0,0,0,0,0,0,0,467,1,48,45-64,610,540,2,1,0,0,17,2
Master,Single,23748.0,1,0,97,6,6,29,12,15,8,3,2,1,3,8,0,0,0,0,0,0,0,585,1,46,45-64,76,68,1,1,0,0,6,0
Graduation,HasPartner,66303.0,0,1,56,1090,12,96,16,12,60,4,3,4,11,8,0,1,0,0,0,0,0,488,1,43,26-44,1286,1226,1,1,1,1,18,2
Master,HasPartner,37368.0,1,0,4,3,2,11,2,2,10,1,1,0,2,6,1,0,0,0,0,0,0,195,0,39,26-44,30,20,1,1,1,1,3,0
Graduation,HasPartner,40800.0,1,2,77,24,0,27,8,30,10,2,3,0,3,7,0,0,0,0,0,1,0,544,1,50,45-64,99,89,3,1,0,0,6,0
Graduation,Single,71847.0,0,0,95,737,21,106,55,63,210,0,6,7,9,3,0,0,0,1,0,0,0,646,1,36,26-44,1192,982,0,0,1,1,22,1
Graduation,HasPartner,46149.0,0,1,36,254,6,71,4,0,27,5,5,1,7,5,0,0,0,0,0,0,0,212,0,39,26-44,362,335,1,1,0,0,13,2
Graduation,HasPartner,78687.0,0,0,13,817,185,687,145,55,241,1,4,6,8,2,0,0,1,0,0,0,1,689,1,31,26-44,2130,1889,0,0,1,1,18,1
2n Cycle,Single,49118.0,0,0,90,620,54,239,99,98,119,2,9,7,10,7,0,1,0,0,1,0,1,680,1,43,26-44,1229,1110,0,0,2,1,26,1
PhD,HasPartner,37633.0,1,1,49,13,4,20,0,0,1,2,1,0,3,9,0,0,0,0,0,0,0,647,1,57,45-64,38,37,2,1,0,0,4,0
Master,HasPartner,39767.0,0,0,18,113,61,204,34,26,47,2,7,1,7,8,0,0,0,0,0,0,0,343,0,63,45-64,485,438,0,0,0,0,15,2
Basic,HasPartner,26997.0,0,0,89,7,23,78,133,49,144,2,4,2,5,7,0,0,0,0,0,0,0,601,1,63,45-64,434,290,0,0,0,0,11,2
Graduation,Single,33986.0,1,0,43,16,2,18,2,1,5,1,1,0,3,7,0,0,0,0,0,0,0,472,1,44,26-44,44,39,1,1,0,0,4,0
PhD,HasPartner,57091.0,0,1,82,462,0,24,6,0,4,2,9,2,5,7,0,1,0,0,0,0,1,583,1,42,26-44,496,492,1,1,1,1,16,2
2n Cycle,HasPartner,46831.0,1,1,84,22,2,10,6,4,34,2,1,2,2,4,0,0,0,0,0,0,0,386,1,45,45-64,78,44,2,1,0,0,5,0
Master,HasPartner,83151.0,0,0,80,968,147,842,137,42,210,1,5,7,10,2,1,0,1,1,0,0,1,504,1,42,26-44,2346,2136,0,0,3,1,22,1
Graduation,HasPartner,52531.0,0,0,68,283,112,151,51,72,125,2,7,2,10,6,0,0,0,0,0,0,0,546,1,43,26-44,794,669,0,0,0,0,19,1
Graduation,HasPartner,15759.0,0,0,12,1,2,5,6,0,3,1,1,0,2,7,0,0,0,0,0,0,0,297,0,58,45-64,17,14,0,0,0,0,3,0
Graduation,Single,22804.0,1,0,75,14,1,7,2,1,1,1,2,0,2,9,0,0,0,0,0,0,0,333,0,43,26-44,26,25,1,1,0,0,4,0
2n Cycle,HasPartner,43050.0,1,0,10,30,5,24,6,3,8,2,2,0,4,5,0,0,0,0,0,0,0,103,0,41,26-44,76,68,1,1,0,0,6,0
PhD,Single,42997.0,1,1,91,4,0,5,0,1,5,1,1,0,2,7,0,0,0,0,0,0,0,204,0,37,26-44,15,10,2,1,0,0,3,0
